店名,评论,口味,环境,服务,总分数
 谷焱大牛烧肉(草市街店) ,2787,9.1,8.8,9.1,6.55
 苏坦土耳其西餐厅(玉林店) ,5411,8.2,8.5,8.4,6.55
 嘉州叶婆婆钵钵鸡(人民南路总店) ,9757,8.0,8.2,8.0,6.55
 一善·菌飧云南菌子火锅(银泰城店) ,2319,9.1,8.9,9.1,6.55
 冒椒火辣(太古里店) ,11167,8.1,7.9,8.0,6.55
 泰香米泰国餐厅(环球中心店) ,6166,8.2,8.3,8.2,6.5
 小紅袍龙虾馆(桐梓林店) ,5668,8.2,8.3,8.2,6.5
 凛火炭火烧鸟酒场(桐梓林店) ,3590,8.6,8.4,9.0,6.5
 The bon House李本家(玉林生活广场店) ,6276,8.2,8.0,8.4,6.5
 画厨CAFE(西宸天街店) ,3835,8.4,8.6,8.5,6.45
 麻辣空间·清油火锅(武侯祠店) ,8287,8.2,8.1,8.1,6.45
 谭鸭血老火锅(太古里店) ,17704,8.0,8.1,8.0,6.4
 BURANO布拉诺西餐(春熙路群光广场店) ,2710,8.6,9.0,9.0,6.4
 宴御海鲜姿造(桐梓林店) ,4795,8.2,8.4,8.3,6.4
 無早小食 ,5069,8.2,8.5,8.3,6.4
 MONDOLI ,6189,8.2,8.3,8.1,6.3500000000000005
 麓轩·Luxexuan(麓湖店) ,3208,8.4,8.9,8.6,6.35
 藏炭烧肉屋(天荟·万科广场店) ,3388,8.8,8.7,8.4,6.35
 甦杏鸡毛店(天府长城店) ,3581,8.9,8.6,8.6,6.35
 LELECHA乐乐茶(IFS国际金融中心店) ,8469,8.1,8.1,8.1,6.300000000000001
 土灶人家·柴火鸡(都江堰店) ,3794,8.4,8.5,8.3,6.300000000000001
 花图缘烤肉(泛悦国际店) ,4011,8.3,8.3,8.6,6.3
 张太婆老妈蹄花·川菜馆(太古里总店) ,9221,8.2,7.9,8.1,6.3
 谦和清心素食(交大店) ,4026,8.5,8.3,8.4,6.3
 明婷饭店(外曹家巷店) ,17907,8.1,7.6,7.9,6.250000000000001
 冒椒火辣(奎星楼街店) ,24026,8.1,7.7,7.8,6.250000000000001
 Mr·Fish鱼鲜生海鲜放题(银泰in99店) ,10768,7.7,8.0,7.8,6.250000000000001
 乐山鲜知味钵钵鸡(草堂北路店) ,16528,8.1,7.5,7.8,6.250000000000001
 德门荟(太古里店) ,2350,8.5,9.1,9.1,6.25
 苏帮主三样菜·江湖川菜(双楠店) ,2495,8.8,9.0,8.8,6.25
 爱妻牛排火锅(川音店) ,5156,8.5,8.0,8.3,6.25
 川传串传承四川地道串串香(宽窄巷子总店) ,5172,8.3,8.2,8.3,6.25
 南荟里(锦华万达店) ,2810,8.6,8.8,9.0,6.25
 希尔顿嘉悦里?TC CAFE 御蓉高空餐厅 ,2414,8.4,9.1,9.0,6.25
 凯菲厅·全日海鲜牛排自助餐厅(成都群光君悦酒店店) ,2947,8.5,9.1,9.0,6.25
 成都茂业JW万豪酒店·万豪中餐厅 ,3508,8.3,8.8,8.7,6.2
 FIELDS AVANT 十域·臻选(悠方店) ,3587,8.3,9.0,8.5,6.2
 谧寻茶室·素食(博舍酒店) ,3088,8.3,9.0,8.5,6.2
 小微家·小吃串串集合店 ,6211,8.2,8.2,8.2,6.199999999999999
 木屋烧烤(少陵路店) ,3266,8.4,8.8,8.4,6.199999999999999
 岳记兴隆·青城腊排铜火锅(创始店) ,5953,8.2,8.2,8.2,6.199999999999999
 椒香城门口老火锅(中航店) ,4377,8.5,8.3,8.3,6.15
 Silver pot·银锅现代川菜(悠方店) ,1918,9.0,9.1,9.1,6.15
 灶门坎烧烤·江湖大排档(太古里店) ,8594,8.1,7.9,8.1,6.15
 北海海鲜料理(桐梓林店) ,1751,9.1,9.1,9.1,6.15
 画厨CAFE(九方店) ,4064,8.2,8.4,8.6,6.15
 FOOOO light 孚乐里·轻(锦城万达广场店) ,4458,8.3,8.4,8.3,6.15
 额尔敦传统涮·烧烤(解放路店) ,4046,8.5,8.3,8.3,6.15
 真鑫·硬派烧烤·烤羊腿(蜀都万达总店) ,2122,9.2,9.1,9.2,6.15
 锦城印象火锅(高新天府长城店) ,3658,8.5,8.3,8.3,6.15
 古巴热浪城堡·特色川菜&红酒馆 ,1926,9.0,9.1,9.1,6.15
 乔一乔怪味餐厅(东升店) ,7841,8.1,8.1,8.0,6.15
 享月·汤皇(UPARK公园店) ,2145,9.1,9.1,9.2,6.15
 鮨·天和 Omakase(桐梓林店) ,1846,9.1,9.0,9.0,6.15
 嗨岛兔·烤兔兔头四川特产(总店) ,8400,8.1,7.9,8.1,6.15
 喜茶(IFS黑金店) ,11643,7.9,7.9,7.8,6.1000000000000005
 浅喜火锅(中环岛广场C座店) ,2667,8.6,9.1,8.7,6.1000000000000005
 鸡毛店·川菜(沙湾店) ,2647,8.9,8.8,8.8,6.1
 赞酱川式烤肉(吾悦广场直营店) ,2902,8.8,8.4,9.0,6.1
 唯成?韩国炭火烤肉 ???? ,3386,8.6,8.3,8.6,6.05
 竹涟烧肉(天府和悦店) ,3299,8.6,8.4,8.5,6.05
 蚝英雄·自助烤蚝(太古里店) ,5880,8.2,8.1,8.2,6.05
 禅悦素食 ,3551,8.3,8.7,8.7,6.05
 卞氏菜根香(天府三街店) ,3347,8.4,8.7,8.4,6.05
 坝坝老柴房·柴火鸡(西航港店) ,8254,8.1,7.9,8.0,6.0
 祥侬国鸡宴?青城樂道苑 ,4311,8.3,8.3,8.3,6.0
 九品风山珍宝酒楼(科华中路店) ,2293,9.1,9.0,8.9,6.0
 IF艺术美学餐厅(太古里店) ,1975,8.8,9.0,9.0,6.0
 云门·兰亭(太古里店) ,2192,8.9,9.0,9.1,6.0
 清沐·美学概念私房餐厅(太古里店) ,2160,8.8,9.2,9.1,6.0
 仁和春天酒店·春天庭餐厅 ,2013,8.8,9.1,9.0,6.0
 良木缘咖啡西餐(天府三街店) ,2117,8.8,9.1,9.0,6.0
 谢彬肥肠鸡(春熙路店) ,12232,7.9,7.7,7.8,5.950000000000001
 悦百味·品质川菜(滨江店) ,2454,8.7,8.9,8.7,5.95
 BURANO布拉诺西餐(武侯大悦城店) ,2413,8.8,8.6,8.9,5.949999999999999
 花胶仔·海鲜荟(春熙路店) ,4639,8.2,8.3,8.2,5.949999999999999
 海椒市串串香(茶店子店) ,5314,8.2,8.3,8.2,5.949999999999999
 豪虾传·龙虾馆&烤鱼(春熙路太古里总店) ,5579,8.2,8.2,8.3,5.949999999999999
 巴蜀大宅门火锅(清江东路店) ,5664,8.2,8.1,8.1,5.9
 仁和小院西昌火盆烧烤(时光里店) ,2998,8.4,8.4,8.4,5.8999999999999995
 钢管厂五区小郡肝串串香(新华公园总店) ,8150,8.1,7.9,7.9,5.8500000000000005
 冒椒火辣(玉林店) ,7647,8.1,7.8,8.0,5.8500000000000005
 HYGGE Life·来福 ,4277,8.2,8.5,8.3,5.85
 LYFATTI 莱芙缇(一品天下店) ,3754,8.3,8.6,8.2,5.85
 小東家一骨香(电子科大店) ,3819,8.6,8.1,8.3,5.85
 正反面(总店) ,5165,8.1,8.3,8.2,5.800000000000001
 九田家黑牛烤肉料理(航港路店) ,2826,8.7,8.7,8.8,5.800000000000001
 红墙记忆·川味小馆 ,2526,8.8,8.4,8.8,5.8
 饭团匠·料理小食堂(玉林店) ,2927,8.8,8.6,8.6,5.8
 李记称盘牛杂串串(广福店) ,4570,8.3,8.1,8.2,5.8
